customer_id,company_name,signup_date,plan,monthly_revenue,region,team_size,is_churned,churn_date,nps_score,features_used,support_tickets
CS1001,"Howell, Martinez and Campbell",2026-05-29,Starter,29,India,116,False,,3,12,3
CS1002,Rodriguez PLC,2026-05-29,Starter,29,Europe,18,True,2026-09-21,1,2,6
CS1003,Alexander-Johnson,2026-05-29,Free,0,USA,368,False,,9,7,7
CS1004,"Powell, Crane and Harris",2026-05-29,Starter,29,India,390,False,,3,12,13
CS1005,Poole-Santana,2026-05-29,Free,0,India,174,False,,2,2,12
CS1006,"Rodgers, Gomez and Wilson",2026-05-29,Free,0,Europe,415,False,,1,12,14
CS1007,Burns-Cox,2026-05-29,Starter,29,SEA,284,False,,5,11,19
CS1008,"Blackwell, Carlson and Henry",2026-05-29,Pro,99,USA,37,False,,1,11,7
CS1009,"Martin, Fox and Foster",2026-05-29,Pro,99,SEA,445,False,,2,7,8
CS1010,Williams-Sharp,2026-05-29,Starter,29,Europe,109,True,2026-09-03,5,12,20
CS1011,Hess-Robinson,2026-05-29,Free,0,USA,127,False,,3,8,12
CS1012,Woods Inc,2026-05-29,Free,0,SEA,114,False,,6,1,7
CS1013,Smith PLC,2026-05-29,Pro,99,Europe,35,False,,4,10,10
CS1014,Medina-Miller,2026-05-29,Free,0,USA,331,False,,8,3,8
CS1015,"Savage, Gonzales and Watkins",2026-05-29,Free,0,Europe,384,False,,10,7,18
CS1016,Long-Scott,2026-05-29,Free,0,India,262,False,,8,2,1
CS1017,Moon-Weeks,2026-05-29,Pro,99,India,350,False,,7,10,2
CS1018,"Gray, Dodson and Acosta",2026-05-29,Free,0,USA,130,False,,9,1,3
CS1019,"Smith, Webb and Bates",2026-05-29,Starter,29,USA,330,False,,6,2,9
CS1020,Walker-Harris,2026-05-29,Starter,29,USA,450,False,,5,9,5
CS1021,"Thomas, Bennett and Cantrell",2026-05-29,Starter,29,India,432,False,,9,10,6
CS1022,"Allen, Lee and May",2026-05-29,Free,0,Europe,400,False,,9,1,19
CS1023,Riley-Fitzpatrick,2026-05-29,Free,0,India,451,False,,5,4,1
CS1024,"Williams, Mann and Harris",2026-05-29,Free,0,USA,419,True,2026-10-07,2,9,4
CS1025,"Stanley, Scott and Dorsey",2026-05-29,Free,0,USA,137,False,,9,10,13
CS1026,Erickson-Arroyo,2026-05-29,Enterprise,499,SEA,355,False,,4,12,9
CS1027,Mueller-Alvarado,2026-05-29,Free,0,Europe,233,True,2026-10-15,2,4,7
CS1028,Nicholson-Paul,2026-05-29,Free,0,India,303,False,,4,1,2
CS1029,Tyler and Sons,2026-05-29,Pro,99,India,442,True,2026-06-13,6,2,16
CS1030,Peters Inc,2026-05-29,Free,0,Europe,372,True,2026-07-08,10,10,15
CS1031,"Roberts, Bailey and Gill",2026-05-29,Free,0,USA,51,True,2026-06-29,7,6,13
CS1032,Riley-House,2026-05-29,Starter,29,Europe,332,True,2026-11-19,2,1,12
CS1033,Cruz-Morton,2026-05-29,Pro,99,Europe,99,True,2026-07-24,9,8,4
CS1034,Berry-Bailey,2026-05-29,Starter,29,India,228,True,2026-06-24,9,2,1
CS1035,"Cook, Beck and Walker",2026-05-29,Starter,29,USA,476,True,2026-06-28,4,3,13
CS1036,"Bell, Mueller and Brewer",2026-05-29,Starter,29,India,32,False,,3,7,0
CS1037,Morales Inc,2026-05-29,Enterprise,499,India,234,False,,5,7,17
CS1038,Smith-Salazar,2026-05-29,Starter,29,USA,497,True,2026-07-30,1,10,17
CS1039,Brennan Group,2026-05-29,Free,0,India,259,True,2026-10-05,9,3,1
CS1040,Cooper Group,2026-05-29,Enterprise,499,India,306,False,,2,11,7
CS1041,Howell and Sons,2026-05-29,Starter,29,SEA,298,False,,10,1,19
CS1042,"Harris, Arellano and Davis",2026-05-29,Free,0,Europe,163,False,,5,4,10
CS1043,Christensen LLC,2026-05-29,Free,0,USA,155,False,,8,6,2
CS1044,Hines and Sons,2026-05-29,Free,0,USA,53,False,,2,9,6
CS1045,Jackson Inc,2026-05-29,Starter,29,India,37,False,,4,6,9
CS1046,Nichols-Harrison,2026-05-29,Free,0,Europe,315,False,,9,1,17
